FRB,ra,ra_err,dec,dec_err,DMobs,e_DMobs_up,e_DMobs_low,zsp,e_zsp,width,e_width_up,e_width_low,flux,e_flux_up,e_flux_low,fluence,e_fluence_up,e_fluence_low,rep,age,telescope,peak_freq,Central_Frequency,Inst_Bandwidth,sp_idx,sp_idx_err,logMstar(Msun),e_logMstar_up,e_logMstar_low,SFR(Msun/yr),e_SFR_up,e_SFR_low,host,ra_host,dec_host,ref,source,logMstar,log(Z),e_log(Z)_up,e_log(Z)_low,SFR,e_SFRr_up,tm,e_tm_up,e_tm_low,MB,MU,Mg,MR,MI,MZ,My,W1,W2,W3,W4,MV,MJ,MH,MK,F110W,F160W,F300X,CH1,FUV,NUV,GL_deg,GB_deg,DM_ism,DM_halo,H0_70_DM_host,H0_70_xval_label,DM_e,rest_width,DL,νW,Lν,TB_K,Energy,mst_central_label,pca_kmeans_label,2feature_mst_central_label,2feature_pca_kmeans_label
20220310F,134.7204167,-9999.0,73.49083333,-9999.0,462.24,0.005,0.005,0.477958,-9999.0,1.0,-9999.0,-9999.0,26.2,-9999.0,-9999.0,26.2,-9999.0,-9999.0,0.0,1.0,DSA-110,-9999.0,1405.0,187.5,-9999.0,-9999.0,-9999.0,0.08,0.06,-9999.0,0.32,0.29,-9999,-9999.0,-9999.0,2307.03344/2409.16964,in_both,9.98,-1.2,0.14,0.15,0.97,-9999.0,2.88,0.75,0.67,-9999.0,-9999.0,-9999.0,21.2,20.72,20.71,-9999.0,20.0,20.48,-9999.0,-9999.0,-9999.0,20.22,20.29,20.41,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,140.02438246,34.79799187,46.33938217163086,31.80552177624912,-9999.0,-9999.0,384.09509605212,0.6766092135229823,2775.110410760499,0.001405,2.414197407068364e+35,1.1243508727745786e+37,9.800809253314495e+44,2,0,1,1
20220418A,219.1055833,-9999.0,70.09594444,-9999.0,623.25,0.01,0.01,0.622,-9999.0,1.0,-9999.0,-9999.0,4.2,-9999.0,-9999.0,4.2,-9999.0,-9999.0,0.0,1.0,DSA-110,-9999.0,1405.0,187.5,-9999.0,-9999.0,-9999.0,0.02,0.02,-9999.0,0.15,0.13,-9999,-9999.0,-9999.0,2307.03344/2409.16964,in_both,10.26,-0.46,0.09,0.05,1.31,-9999.0,2.59,0.27,0.29,-9999.0,-9999.0,22.18,21.27,21.29,21.0,-9999.0,20.69,-9999.0,-9999.0,-9999.0,-9999.0,20.78,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,110.75308815,44.46716696,36.654178619384766,32.84408526581693,12.857118703716276,0.0,553.7517361147983,0.6165228113440198,3808.473594803481,0.001405,7.288902527689924e+34,3.394620462511716e+36,2.6962648067903534e+44,2,0,0,0
20220506D,318.0448333,-9999.0,72.82727778,-9999.0,396.97,0.02,0.02,0.30039,-9999.0,0.5,-9999.0,-9999.0,26.4,-9999.0,-9999.0,13.2,-9999.0,-9999.0,0.0,2.0,DSA-110,-9999.0,1405.0,187.5,-9999.0,-9999.0,-9999.0,0.01,0.03,-9999.0,0.17,0.17,-9999,-9999.0,-9999.0,2307.03344/2409.16964,in_both,10.45,-0.12,0.06,0.06,1.2,-9999.0,4.77,0.2,0.16,-9999.0,-9999.0,-9999.0,19.91,19.55,-9999.0,19.4,18.32,18.28,-9999.0,-9999.0,-9999.0,18.77,18.69,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,108.35440989,16.51344427,84.55632019042969,39.75435239745216,18.000930153637274,0.0,272.65932741211816,0.3845000346050031,1610.6334585319385,0.0007025,8.194233111192052e+34,1.526502037209128e+37,1.8904097488888844e+44,1,3,1,1
20220509G,282.67,-9999.0,70.24383333,-9999.0,269.53,0.02,0.02,0.0894,-9999.0,0.5,-9999.0,-9999.0,11.6,-9999.0,-9999.0,5.8,-9999.0,-9999.0,0.0,0.0,DSA-110,-9999.0,1405.0,187.5,-9999.0,-9999.0,-9999.0,0.01,0.01,-9999.0,0.07,0.04,-9999,-9999.0,-9999.0,2307.03344/2409.16964,in_both,10.7,-0.58,0.03,0.04,0.25,-9999.0,7.75,0.18,0.18,-9999.0,-9999.0,17.2,16.51,16.24,16.11,15.87,16.48,17.08,16.55,15.84,-9999.0,15.67,15.68,15.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,100.94319405,25.47640054,55.607852935791016,37.69734803951801,96.232799395289,0.0,176.22479902469095,0.4589682393978337,424.15132853545,0.0007025,2.4969543755917503e+33,4.651571281213603e+35,6.876136521732377e+42,1,3,0,1
20220825A,311.9814583,-9999.0,72.58497222,-9999.0,651.24,0.06,0.06,0.241397,-9999.0,1.0,-9999.0,-9999.0,5.8,-9999.0,-9999.0,5.8,-9999.0,-9999.0,0.0,1.0,DSA-110,-9999.0,1405.0,187.5,-9999.0,-9999.0,-9999.0,0.06,0.06,-9999.0,1.26,0.94,-9999,-9999.0,-9999.0,2307.03344/2409.16964,in_both,10.01,0.09,0.05,0.08,7.91,-9999.0,5.15,0.32,0.31,-9999.0,-9999.0,21.36,20.74,20.34,19.97,19.56,18.8,18.98,17.72,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,106.99499719,17.78524696,78.48040771484375,39.45481631990472,269.7072329005988,1.0,533.3047759652516,0.8055440765524646,1255.1456204017695,0.001405,1.0932693634579856e+34,5.091623242501832e+35,5.284059958859173e+43,1,3,0,1
20220914A,282.0567917,-9999.0,73.33691667,-9999.0,631.28,0.04,0.04,0.1139,-9999.0,0.5,-9999.0,-9999.0,5.2,-9999.0,-9999.0,2.6,-9999.0,-9999.0,0.0,1.0,DSA-110,-9999.0,1405.0,187.5,-9999.0,-9999.0,-9999.0,0.08,0.04,-9999.0,0.05,0.06,-9999,-9999.0,-9999.0,2307.03344/2409.16964,in_both,9.24,-0.44,0.08,0.12,0.46,-9999.0,4.55,0.29,0.28,-9999.0,-9999.0,20.55,20.05,19.8,19.7,-9999.0,18.88,19.41,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,104.30804001,26.1301059,54.68307876586914,36.95316424785361,402.3733791807402,1.0,539.6437569862773,0.4488733279468533,549.1689085571163,0.0007025,1.876403269791697e+33,3.495547875066746e+35,5.053604281690535e+42,1,1,0,0
20220920A,240.2570833,-9999.0,70.91880556,-9999.0,314.99,0.01,0.01,0.158239,-9999.0,0.5,-9999.0,-9999.0,7.8,-9999.0,-9999.0,3.9,-9999.0,-9999.0,0.0,1.0,DSA-110,-9999.0,1405.0,187.5,-9999.0,-9999.0,-9999.0,0.01,0.01,-9999.0,0.2,0.21,-9999,-9999.0,-9999.0,2307.03344/2409.16964,in_both,9.87,-0.37,0.07,0.08,1.62,-9999.0,4.27,0.27,0.29,-9999.0,-9999.0,19.65,19.43,18.96,19.05,18.54,18.15,18.52,16.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,104.92313248,38.89331833,39.85966491699219,34.11855298789563,97.40869007188806,0.0,241.01178209511215,0.4316898325820491,784.4387515924225,0.0007025,5.742799274632438e+33,1.0698249211431374e+36,1.4874648344510344e+43,1,3,0,0
20221012A,280.7987083,-9999.0,70.52422222,-9999.0,441.08,0.7,0.7,0.284669,-9999.0,2.0,-9999.0,-9999.0,2.55,-9999.0,-9999.0,5.1,-9999.0,-9999.0,0.0,0.0,DSA-110,-9999.0,1405.0,187.5,-9999.0,-9999.0,-9999.0,0.02,0.02,-9999.0,0.1,0.07,-9999,-9999.0,-9999.0,2307.03344/2409.16964,in_both,10.96,0.18,0.01,0.02,0.18,-9999.0,6.74,0.26,0.21,-9999.0,-9999.0,20.81,19.67,19.04,18.84,18.54,17.83,18.24,-9999.0,-9999.0,-9999.0,17.79,17.83,17.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,101.14513143,26.13985944,54.34602355957031,37.45653212675052,88.43900884992657,0.0,349.27744431367915,1.5568212512328077,1514.241969761689,0.00281,6.995869398867029e+33,8.14536939005416e+34,6.5347908906032805e+43,1,3,0,0
20210117A,339.9792292,-9999.0,-16.15151389,-9999.0,729.1,0.36,0.23,0.214,0.001,0.14,0.01,0.01,257.1428571428571,-9999.0,-9999.0,36.0,28.0,9.0,0.0,2.0,ASKAP/CRAFT,-9999.0,1271.5,336.0,-1.5,-9999.0,-9999.0,0.06,0.08,-9999.0,0.008,0.004,-9999,-9999.0,-9999.0,2211.1679,in_both,8.56,-9999.0,-9999.0,-9999.0,0.014,-9999.0,5.06,0.91,1.34,-9999.0,-9999.0,23.6,22.97,22.23,-9999.0,-9999.0,17.348,16.839,-9999.0,-9999.0,-9999.0,22.69,22.94,22.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,45.91735869,-57.64645313,34.37565231323242,37.1655075537266,397.3702071757301,1.0,657.558840133041,0.115321252059308,1095.9964395744946,0.00017801,3.695759536123716e+35,1.0722514358960588e+39,2.5571977020954863e+44,0,0,1,2
20181223C,180.9207,-9999.0,27.5476,-9999.0,111.61,1.62,1.62,0.03024,1e-05,1.97,-9999.0,-9999.0,1.36,0.51,0.51,2.84,0.93,0.93,0.0,1.0,CHIME/FRB,479.2,600.0,400.0,2.68,0.79,-9999.0,0.16,0.2,-9999.0,0.12,0.08,-9999,-9999.0,-9999.0,2310.10018/Chimefrbcat,in_both,9.29,-0.7,0.4,0.5,0.15,-9999.0,6.6,0.2,2.1,-9999.0,18.607,17.328,16.886,16.663,16.54,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,16.756,15.903,15.244,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,207.92652893,79.39043494,19.935115814208984,30.927260379798525,35.851059139067125,0.0,60.74762380599249,1.912175803696226,137.65894825642442,0.0011819999999999,3.0836051128548845e+31,2.0291097360332463e+33,3.750170657197467e+41,1,1,0,0
20190418A,65.8123,-9999.0,16.0738,-9999.0,182.78,1.62,1.62,0.07132,1e-05,1.97,-9999.0,-9999.0,0.99,0.58,0.58,2.2,1.0,1.0,0.0,1.0,CHIME/FRB,400.2,600.0,400.0,-4.8,1.2,-9999.0,0.13,0.17,-9999.0,1.1,0.6,-9999,-9999.0,-9999.0,2310.10018/Chimefrbcat,in_both,10.27,-1.51,0.47,0.35,0.8,-9999.0,5.5,2.1,2.5,-9999.0,21.062,19.224,18.089,17.428,16.978,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,16.416,15.597,14.621,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,179.28832207,-22.8910847,70.21626281738281,32.253188542228386,22.022054701630207,0.0,80.3105486403888,1.8388530037710489,334.24824152787846,0.0011819999999999,1.3233795257768603e+32,8.708256024827975e+33,1.6470391987166738e+42,1,1,0,0
20220610A,351.0732042,-9999.0,-33.51371389,-9999.0,1458.15,0.25,0.55,1.016,0.002,0.41,0.01,0.01,109.75609756097562,-9999.0,-9999.0,45.0,5.0,5.0,0.0,1.0,ASKAP,-9999.0,1271.5,336.0,-1.5,0.3,-9999.0,0.14,0.07,-9999.0,0.83,0.37,-9999,-9999.0,-9999.0,2210.0468,in_both,9.98,-0.11,0.17,1.68,0.42,-9999.0,1.02,1.64,0.62,-9999.0,-9999.0,24.15,23.78,22.17,21.95,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,23.89,21.97,-9999.0,22.08,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,8.83961496,-70.18574241,30.957868576049805,35.63860156519898,253.2774660869251,1.0,1391.5535298587513,0.2033730158730158,6939.614215263368,0.000521315,6.324268028496853e+36,2.1393978533047294e+39,7.71711277286818e+45,0,0,1,2
20121102A,82.99458333,-9999.0,33.14794444,-9999.0,557.0,2.0,2.0,0.1927,-9999.0,3.0,0.5,0.5,0.4,0.1,0.1,1.2,-9999.0,-9999.0,1.0,1.0,Arecibo_ALFA,1600.0,1375.0,322.6,8.8,1.9,-9999.0,0.02,0.01,-9999.0,0.02,0.01,-9999,-9999.0,-9999.0,2302.05465,in_both,8.14,0.11,0.05,0.11,0.05,-9999.0,5.71,0.96,1.26,-9999.0,-9999.0,23.33,23.73,23.54,23.49,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,23.51,-9999.0,23.73,23.08,22.96,-9999.0,23.79,-9999.0,-9999.0,174.87952538,-0.22186056,188.4281005859375,40.9140065164944,142.98290596429547,1.0,327.6578928975681,2.515301416953131,974.98934543217,0.004125,4.549573497896933e+32,2.4581280936242455e+33,6.86612919947554e+42,1,1,0,0
20180301A,93.22683333,-9999.0,4.671055556,-9999.0,536.0,8.0,13.0,0.3304,-9999.0,2.18,0.06,0.06,1.2,0.1,0.1,1.3,-9999.0,-9999.0,1.0,1.0,Parkes,1415.0,1352.0,338.281,2.29,0.07,-9999.0,0.11,0.11,-9999.0,0.64,0.55,-9999,-9999.0,-9999.0,2302.05465/1901.07412,in_both,9.64,-0.99,0.27,0.21,1.91,-9999.0,4.34,1.1,1.29,-9999.0,21.77,21.64,21.21,21.11,20.66,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.61,20.43,20.53,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,204.33679845,-6.38994154,151.72328186035156,38.05767374948512,53.30618331826623,0.0,346.21904439016333,1.6386049308478654,1797.8566143723217,0.00294736,4.6409010086590585e+33,4.911539772380977e+34,2.2674275824025764e+43,1,1,0,0
20180924B,326.10525,-9999.0,-40.90002778,-9999.0,362.42,0.06,0.06,0.3212,-9999.0,1.3,0.09,0.09,12.3,-9999.0,-9999.0,16.0,1.0,1.0,0.0,1.0,ASKAP/CRAFT,-9999.0,1320.0,336.0,-9999.0,-9999.0,-9999.0,0.02,0.02,-9999.0,0.32,0.24,-9999,-9999.0,-9999.0,2302.05465,in_both,10.39,-0.14,0.04,0.04,0.62,-9999.0,5.63,1.53,0.75,-9999.0,-9999.0,21.42,20.33,20.01,19.56,19.65,19.46,-9999.0,-9999.0,-9999.0,-9999.0,19.24,-9999.0,19.97,19.34,-9999.0,23.37,-9999.0,-9999.0,-9999.0,0.74244509,-49.41467975,40.49724578857422,45.543713872840215,6.871751316846443,0.0,276.3790403385856,0.9839539812291856,1740.018347156634,0.001716,4.455779808288296e+34,1.3911401491181397e+36,2.6322145031720134e+44,1,3,0,1
20181112A,327.3484583,-9999.0,-52.97094444,-9999.0,589.27,0.03,0.03,0.4755,-9999.0,2.1,0.2,0.2,12.38095238095238,-9999.0,-9999.0,26.0,3.0,3.0,0.0,1.0,ASKAP/CRAFT,-9999.0,1272.5,336.0,-9999.0,-9999.0,-9999.0,0.07,0.07,-9999.0,0.99,0.65,-9999,-9999.0,-9999.0,2302.05465,in_both,9.87,-0.19,0.27,0.32,1.54,-9999.0,3.82,0.84,0.98,-9999.0,-9999.0,22.64,21.68,21.46,21.42,21.05,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.96,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,342.59945985,-47.69883928,41.71956634521485,45.043748471852965,67.5809110676956,0.0,502.5066851829322,1.423246357167062,2758.115534601302,0.00267225,1.1269117740110398e+35,1.4508331682149507e+36,9.623238463259303e+44,2,0,3,1
20190102C,322.4156667,-9999.0,-79.47569444,-9999.0,363.6,0.3,0.3,0.2912,-9999.0,1.7,0.1,0.1,8.23529411764706,-9999.0,-9999.0,14.0,1.0,1.0,0.0,1.0,ASKAP/CRAFT,-9999.0,1320.0,336.0,-9999.0,-9999.0,-9999.0,0.09,0.11,-9999.0,0.31,0.11,-9999,-9999.0,-9999.0,2302.05465,in_both,9.69,-1.15,0.37,0.39,0.4,-9999.0,4.76,1.02,1.47,-9999.0,22.77,21.87,20.77,-9999.0,20.54,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.45,-9999.0,-9999.0,-9999.0,-9999.0,312.65374785,-33.49306231,57.39960479736328,46.98821754228439,13.870485542979123,0.0,259.2121776603524,1.3166047087980175,1554.1428447129226,0.002244,2.379972480176887e+34,4.345181890245481e+35,1.8800897845263515e+44,1,3,0,1
20190608B,334.019875,-9999.0,-7.89825,-9999.0,338.7,0.5,0.5,0.1178,-9999.0,6.0,0.8,0.8,4.3,-9999.0,-9999.0,26.0,4.0,4.0,0.0,1.0,ASKAP/CRAFT,1295.0,1320.0,336.0,-9999.0,-9999.0,-9999.0,0.02,0.02,-9999.0,1.43,1.15,-9999,-9999.0,-9999.0,2211.03974/2302.05465,in_both,10.56,-0.03,0.04,0.04,7.03,-9999.0,7.13,0.7,1.21,-9999.0,19.06,17.98,17.41,17.12,16.92,-9999.0,16.97,17.13,15.93,-9999.0,-9999.0,16.76,-9999.0,16.55,-9999.0,16.76,19.51,-9999.0,-9999.0,-9999.0,53.20882389,-48.5296461,37.26972579956055,38.89000896635318,150.19770670132868,1.0,262.5402652340863,5.367686527106818,569.402254226614,0.00792,1.6680834533082016e+33,2.444832678536936e+33,5.413894791598103e+43,2,3,2,1
20190611B,320.7455833,-9999.0,-79.39758333,-9999.0,321.4,0.2,0.2,0.3778,-9999.0,2.0,1.0,1.0,5.0,-9999.0,-9999.0,10.0,2.0,2.0,0.0,1.0,ASKAP/CRAFT,1152.0,1320.0,336.0,-9999.0,-9999.0,-9999.0,0.12,0.12,-9999.0,0.77,0.26,-9999,-9999.0,-9999.0,2302.05465,in_both,9.57,-0.84,0.55,0.54,0.53,-9999.0,4.45,0.98,1.34,-9999.0,-9999.0,23.36,22.15,21.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,312.93516545,-33.28183435,57.827579498291016,47.21390299956262,-9999.0,-9999.0,216.35851750214636,1.4515894904920887,2101.8467919129507,0.00264,2.642914241639371e+34,3.486237323764807e+35,2.301855922461347e+44,1,3,0,1
20190711A,329.41925,-9999.0,-80.358,-9999.0,593.1,0.4,0.4,0.522,-9999.0,6.5,0.5,0.5,5.230769230769231,-9999.0,-9999.0,34.0,3.0,3.0,1.0,1.0,ASKAP/CRAFT,1152.0,1320.0,336.0,-9999.0,-9999.0,-9999.0,0.15,0.23,-9999.0,0.96,0.5,-9999,-9999.0,-9999.0,2302.05465/2005.13161,in_both,9.1,-0.99,0.53,0.54,0.95,-9999.0,3.54,0.96,1.36,-9999.0,-9999.0,23.55,23.54,22.98,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,22.84,24.25,-9999.0,-9999.0,-9999.0,310.90783195,-33.90224193,56.48743438720703,46.20020786562126,30.4902080853276,0.0,490.4123577471717,4.270696452036794,3083.4078654150917,0.00858,5.950294578466591e+34,7.430971945056486e+34,1.524714116689862e+45,2,0,2,1
20190714A,183.9797083,-9999.0,-13.021,-9999.0,504.13,2.0,2.0,0.2365,-9999.0,1.0,-9999.0,-9999.0,8.0,-9999.0,-9999.0,8.0,-9999.0,-9999.0,0.0,1.0,ASKAP/CRAFT,1272.5,1272.5,336.0,2.0,0.5,-9999.0,0.04,0.04,-9999.0,1.22,0.72,-9999,-9999.0,-9999.0,2211.03974/2302.05465/2201.00069/2003.10889,in_both,10.22,-0.09,0.22,0.55,1.89,-9999.0,5.48,0.75,1.02,-9999.0,-9999.0,20.91,20.34,19.84,19.64,19.44,19.31,19.11,-9999.0,-9999.0,-9999.0,18.9,18.8,18.79,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,289.69715849,48.93586005,38.491249084472656,36.43910539242219,189.96533762454527,1.0,429.1996455231051,0.8087343307723414,1226.414789826374,0.0012725,1.4397122498359647e+34,8.174135800311318e+35,6.986068337254974e+43,1,3,0,1
